GlobalId,Name,階,配管種別,系統コード,系統名称,IFC系統分類,系統所属数,外径,内径,長さ,方向区分,軸DX,軸DY,軸DZ,水平面角度_deg,勾配,Z最低,Z最高,高低差
3i6NT3lWD4BeNkr3J2NSIP,配管タイプ:00_冷媒:42163591,1FL,配管タイプ:00_冷媒,R 22,M091_R冷媒2way,HEATING,1,100.0,20.0,2941.2614898848337,水平管,0.0,1.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIM,配管タイプ:00_冷媒:42163592,1FL,配管タイプ:00_冷媒,R 23,M091_R冷媒2way,HEATING,1,100.0,20.0,1518.1705953197018,水平管,1.0,0.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIN,配管タイプ:00_冷媒:42163593,1FL,配管タイプ:00_冷媒,R 23,M091_R冷媒2way,HEATING,1,100.0,20.0,3561.9361397560833,水平管,0.0,1.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIK,配管タイプ:00_冷媒:42163594,1FL,配管タイプ:00_冷媒,R 23,M091_R冷媒2way,HEATING,1,100.0,20.0,4699.997935296388,水平管,1.0,0.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIL,配管タイプ:00_冷媒:42163595,1FL,配管タイプ:00_冷媒,R 22,M091_R冷媒2way,HEATING,1,100.0,20.0,321.70023972248015,水平管,0.0,1.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIJ,配管タイプ:00_冷媒:42163597,1FL,配管タイプ:00_冷媒,R 24,M091_R冷媒2way,HEATING,1,100.0,20.0,287.305223878689,水平管,0.0,1.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIH,配管タイプ:00_冷媒:42163599,1FL,配管タイプ:00_冷媒,R 22,M091_R冷媒2way,HEATING,1,100.0,20.0,759.5000000000092,水平管,1.0,0.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIE,配管タイプ:00_冷媒:42163600,1FL,配管タイプ:00_冷媒,R 22,M091_R冷媒2way,HEATING,1,100.0,20.0,499.70862297056476,水平管,0.0,1.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIF,配管タイプ:00_供給:42163601,1FL,配管タイプ:00_供給,－ 30,P011_W上水,DOMESTICCOLDWATER,1,60.5,57.5,8400.250000000031,水平管,1.0,0.0,0.0,0.0,0.0,0.16974999999999998,0.23024999999999995,0.06049999999999997
3i6NT3lWD4BeNkr3J2NSIC,配管タイプ:00_供給:42163602,1FL,配管タイプ:00_供給,－ 22,P011_W上水,DOMESTICCOLDWATER,1,60.5,57.5,4649.899999999478,水平管,0.0,1.0,0.0,0.0,0.0,0.16974999999999998,0.23024999999999995,0.06049999999999997
