GlobalId,Name,ObjectType,PredefinedType,TypeName,継手種類,階,系統コード,系統名称,IFC系統分類,系統所属数,Material,PortCount,接続径1_mm,接続径2_mm,接続径3_mm,径情報完全性,径取得元,数量_個,Warning
25dTy1oBL21uxry3jY44VS,021_径違いＴ型:Common:41529777,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,1FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
25dTy1oBL21uxry3jY44VQ,021_径違いＴ型:Common:41529783,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,1FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
25dTy1oBL21uxry3jY44Uj,021_径違いＴ型:Common:41529792,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,1FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0CG8h9CIL0Q8k4mhgA6vHJ,041_レジューサ:Common:41566630,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,1FL,D 7,M121_Dドレン,SEWAGE,1,配管－ドレン,2,60.5,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0CG8h9CIL0Q8k4mhgA6vGg,041_レジューサ:Common:41566687,041_レジューサ:Common,NOTDEFINED,041_レジューサ:Common,レジューサ,1FL,D 11,M121_Dドレン,SEWAGE,1,配管－ドレン,2,60.5,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
0eLM4vM5jAygjA1FFPEdo4,011_エルボ:Common:41573114,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,－ 233,M112_W加湿給水,DOMESTICCOLDWATER,1,配管－加湿給水,2,,,,NONE,,1,PredefinedType未定義 | 径情報なし
2s0miY2LL7VPzA9lwxWjm9,021_径違いＴ型:Common:41582429,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,4FL,CH 7,M031_CH冷温水(往),HEATING,1,配管－冷温水（往）（還）（膨張）,3,76.3,,114.3,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2s0miY2LL7VPzA9lwxWjmr,021_径違いＴ型:Common:41582433,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,4FL,CHR 6,M032_CHR冷温水(還),HEATING,1,配管－冷温水（往）（還）（膨張）,3,76.3,,114.3,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2s0miY2LL7VPzA9lwxWY7R,021_径違い90° 大曲がり Y:Common:41583247,021_径違い90° 大曲がり Y:Common,NOTDEFINED,021_径違い90° 大曲がり Y:Common,径違い90°大曲がりY,3FL,D 3,M121_Dドレン,SEWAGE,1,配管－ドレン,3,76.3,76.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
3inpcJnLr5Wh9YciPQ$$3v,021_径違いＴ型:Common:41585791,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,1FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,1,配管－加湿給水,3,27.2,,42.7,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
